Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Marker_loc_x,Marker_loc_y,Marker_loc_z,Tip_loc_x,Tip_loc_y,Tip_loc_z,
04:13:44.636,84594,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.650,84608,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.664,84622,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.679,84638,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.692,84650,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.707,84665,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.721,84678,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.734,84692,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.748,84706,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.761,84719,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.776,84734,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.790,84747,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.803,84761,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.818,84776,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.830,84788,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.846,84804,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.859,84816,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.872,84830,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.885,84843,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.901,84859,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.915,84872,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.928,84886,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.942,84900,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.956,84913,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.969,84927,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.985,84943,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:44.998,84956,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.012,84969,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.026,84983,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.039,84997,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.053,85011,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.066,85025,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.081,85039,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
